Item,Aspect,Level,Required Skill,Extra Requirement,Result Aspects
Labhitic Tincture (Material),Edge,5,Edicts Martial,,Edge 2 / Lantern 1
Labhitic Tincture (Material),Edge,5,Disciplines of the Hammer,,Edge 2 / Lantern 1
Labhitic Tincture (Material),Edge,5,Ragged Crossroads,,Edge 2 / Lantern 1
Labhitic Tincture (Material),Edge,5,Sickle & Eclipse,,Edge 2 / Lantern 1
Torgue's Cleansing (Memory),Edge,5,Disciplines of the Scar,,Edge 2
Torgue's Cleansing (Memory),Edge,5,Auroral Contemplations,,Edge 2
Torgue's Cleansing (Memory),Edge,5,Sharps,,Edge 2
Torgue's Cleansing (Memory),Edge,5,Meniscate Reflections,,Edge 2
"Perinculate (Liquid, Ink)",Edge,10,Disciplines of the Scar,Leaf,Edge 4 / Scale 4
"Perinculate (Liquid, Ink)",Edge,10,Edicts Martial,Leaf,Edge 4 / Scale 4
"Perinculate (Liquid, Ink)",Edge,10,Sickle & Eclipse,Leaf,Edge 4 / Scale 4
Winning Move (Memory),Edge,10,Disciplines of the Hammer,Memory,Edge 3
Winning Move (Memory),Edge,10,Auroral Contemplations,Memory,Edge 3
Winning Move (Memory),Edge,10,Meniscate Reflections,Memory,Edge 3
Winning Move (Memory),Edge,10,Sharps,Memory,Edge 3
Winning Move (Memory),Edge,10,Ragged Crossroads,Memory,Edge 3
Serpent-Milk (Beverage),Edge,15,Sickle & Eclipse,Perinculate,Edge 6 / Knock 2 / Scale 3
Serpent-Milk (Beverage),Edge,15,Sharps,Perinculate,Edge 6 / Knock 2 / Scale 3
Serpent-Milk (Beverage),Edge,15,Meniscate Reflections,Perinculate,Edge 6 / Knock 2 / Scale 3
Serpent-Milk (Beverage),Edge,15,Disciplines of the Scar,Perinculate,Edge 6 / Knock 2 / Scale 3
Invincible Audacity (Persistent Memory),Edge,15,Disciplines of the Hammer,Winning Move (Memory),Edge 6 / Forge 3 / Lantern 3
Invincible Audacity (Persistent Memory),Edge,15,Edicts Martial,Winning Move (Memory),Edge 6 / Forge 3 / Lantern 3
Invincible Audacity (Persistent Memory),Edge,15,Auroral Contemplations,Winning Move (Memory),Edge 6 / Forge 3 / Lantern 3
Bitterblack Salts (Material),Forge,5,Bells & Brazieries,,Forge 1
Bitterblack Salts (Material),Forge,5,Transformations & Liberations,,Forge 1
Bitterblack Salts (Material),Forge,5,Disciplines of the Hammer,,Forge 1
Bitterblack Salts (Material),Forge,5,Door & Wall,,Forge 1
Bitterblack Salts (Material),Forge,5,Anbary & Lapidary,,Forge 1
Westcott's Compounds (Material),Forge,5,Pyroglyphics,,Forge 2 / Grail 1 / Lantern 1 / Moth 1 / Nectar 1
Westcott's Compounds (Material),Forge,5,Meniscate Reflections,,Forge 2 / Grail 1 / Lantern 1 / Moth 1 / Nectar 1
Westcott's Compounds (Material),Forge,5,Spices & Savours,,Forge 2 / Grail 1 / Lantern 1 / Moth 1 / Nectar 1
Iotic Essence (Liquid),Forge,10,Transformations & Liberations,Liquid,Forge 5 / Lantern 3
Iotic Essence (Liquid),Forge,10,Anbary & Lapidary,Liquid,Forge 5 / Lantern 3
Iotic Essence (Liquid),Forge,10,Pyroglyphics,Liquid,Forge 5 / Lantern 3
Iotic Essence (Liquid),Forge,10,Spices & Savours,Liquid,Forge 5 / Lantern 3
Iotic Essence (Liquid),Forge,10,Meniscate Reflections,Liquid,Forge 5 / Lantern 3
Wire (Orichalcum) (Material),Forge,10,Bells & Brazieries,Metal,Forge 4 / Lantern 1
