Item,Aspect,Level,Required Skill,Extra Requirement,Result,Result Aspects
Labhitic Tincture,Edge,5,Edicts Martial,,Labhitic Tincture (Material),Edge 2 / Lantern 1
Labhitic Tincture,Edge,5,Disciplines of the Hammer,,Labhitic Tincture (Material),Edge 2 / Lantern 1
Labhitic Tincture,Edge,5,Ragged Crossroads,,Labhitic Tincture (Material),Edge 2 / Lantern 1
Labhitic Tincture,Edge,5,Sickle & Eclipse,,Labhitic Tincture (Material),Edge 2 / Lantern 1
Torgue's Cleansing,Edge,5,Disciplines of the Scar,,Torgue's Cleansing (Memory),Edge 2
Torgue's Cleansing,Edge,5,Auroral Contemplations,,Torgue's Cleansing (Memory),Edge 2
Torgue's Cleansing,Edge,5,Sharps,,Torgue's Cleansing (Memory),Edge 2
Torgue's Cleansing,Edge,5,Meniscate Reflections,,Torgue's Cleansing (Memory),Edge 2
Perinculate,Edge,10,Disciplines of the Scar,Leaf,Perinculate (Liquid),Edge 4 / Scale 4
Perinculate,Edge,10,Edicts Martial,Leaf,Perinculate (Liquid),Edge 4 / Scale 4
Perinculate,Edge,10,Sickle & Eclipse,Leaf,Perinculate (Liquid),Edge 4 / Scale 4
Winning Move,Edge,10,Disciplines of the Hammer,Memory,Winning Move (Memory),Edge 3
Winning Move,Edge,10,Auroral Contemplations,Memory,Winning Move (Memory),Edge 3
Winning Move,Edge,10,Meniscate Reflections,Memory,Winning Move (Memory),Edge 3
Winning Move,Edge,10,Sharps,Memory,Winning Move (Memory),Edge 3
Winning Move,Edge,10,Ragged Crossroads,Memory,Winning Move (Memory),Edge 3
Serpent-Milk,Edge,15,Sickle & Eclipse,Perinculate (Liquid),Serpent-Milk (Beverage),Edge 6 / Knock 2 / Scale 3
Serpent-Milk,Edge,15,Sharps,Perinculate (Liquid),Serpent-Milk (Beverage),Edge 6 / Knock 2 / Scale 3
Serpent-Milk,Edge,15,Meniscate Reflections,Perinculate (Liquid),Serpent-Milk (Beverage),Edge 6 / Knock 2 / Scale 3
Serpent-Milk,Edge,15,Disciplines of the Scar,Perinculate (Liquid),Serpent-Milk (Beverage),Edge 6 / Knock 2 / Scale 3
Invincible Audacity,Edge,15,Disciplines of the Hammer,Winning Move (Memory),Invincible Audacity (Persistent Memory),Edge 6 / Forge 3 / Lantern 3
Invincible Audacity,Edge,15,Edicts Martial,Winning Move (Memory),Invincible Audacity (Persistent Memory),Edge 6 / Forge 3 / Lantern 3
Invincible Audacity,Edge,15,Auroral Contemplations,Winning Move (Memory),Invincible Audacity (Persistent Memory),Edge 6 / Forge 3 / Lantern 3
Bitterblack Salts,Forge,5,Bells & Brazieries,,Bitterblack Salts (Material),Forge 1
Bitterblack Salts,Forge,5,Transformations & Liberations,,Bitterblack Salts (Material),Forge 1
Bitterblack Salts,Forge,5,Disciplines of the Hammer,,Bitterblack Salts (Material),Forge 1
Bitterblack Salts,Forge,5,Door & Wall,,Bitterblack Salts (Material),Forge 1
Bitterblack Salts,Forge,5,Anbary & Lapidary,,Bitterblack Salts (Material),Forge 1
Westcott's Compounds,Forge,5,Pyroglyphics,,Westcott's Compounds (Material),Forge 2 / Grail 1 / Lantern 1 / Moth 1 / Nectar 1
Westcott's Compounds,Forge,5,Meniscate Reflections,,Westcott's Compounds (Material),Forge 2 / Grail 1 / Lantern 1 / Moth 1 / Nectar 1
Westcott's Compounds,Forge,5,Spices & Savours,,Westcott's Compounds (Material),Forge 2 / Grail 1 / Lantern 1 / Moth 1 / Nectar 1
Iotic Essence,Forge,10,Transformations & Liberations,Liquid,Iotic Essence (Liquid),Forge 5 / Lantern 3
Iotic Essence,Forge,10,Anbary & Lapidary,Liquid,Iotic Essence (Liquid),Forge 5 / Lantern 3
Iotic Essence,Forge,10,Pyroglyphics,Liquid,Iotic Essence (Liquid),Forge 5 / Lantern 3
Iotic Essence,Forge,10,Spices & Savours,Liquid,Iotic Essence (Liquid),Forge 5 / Lantern 3
Iotic Essence,Forge,10,Meniscate Reflections,Liquid,Iotic Essence (Liquid),Forge 5 / Lantern 3
Wire (Orichalcum),Forge,10,Bells & Brazieries,Metal,Wire (Orichalcum) (Material),Forge 4 / Lantern 1
Wire (Orichalcum),Forge,10,Door & Wall,Metal,Wire (Orichalcum) (Material),Forge 4 / Lantern 1
Wire (Orichalcum),Forge,10,Disciplines of the Hammer,Metal,Wire (Orichalcum) (Material),Forge 4 / Lantern 1
Orpiment Exultant,Forge,15,Transformations & Liberations,Iotic Essence (Liquid),Orpiment Exultant (Liquid),Forge 7 / Heart 7 / Sky 7
Orpiment Exultant,Forge,15,Inks of Power,Iotic Essence (Liquid),Orpiment Exultant (Liquid),Forge 7 / Heart 7 / Sky 7
Orpiment Exultant,Forge,15,Anbary & Lapidary,Iotic Essence (Liquid),Orpiment Exultant (Liquid),Forge 7 / Heart 7 / Sky 7
Azoth,Forge,15,Pyroglyphics,Wire (Orichalcum) (Material),Azoth (Liquid),Forge 2 / Knock 6
Azoth,Forge,15,Bells & Brazieries,Wire (Orichalcum) (Material),Azoth (Liquid),Forge 2 / Knock 6
Azoth,Forge,15,Meniscate Reflections,Wire (Orichalcum) (Material),Azoth (Liquid),Forge 2 / Knock 6
Azoth,Forge,15,Purifications & Exaltations,Wire (Orichalcum) (Material),Azoth (Liquid),Forge 2 / Knock 6
Azoth,Forge,15,Disciplines of the Hammer,Wire (Orichalcum) (Material),Azoth (Liquid),Forge 2 / Knock 6
Azoth,Forge,15,Door & Wall,Wire (Orichalcum) (Material),Azoth (Liquid),Forge 2 / Knock 6
Azoth,Forge,15,Spices & Savours,Honeyscar Jasmine (Flower),Azoth (Liquid),Forge 2 / Knock 6
Iotic Essence,Forge,15,Transformations & Liberations,Bitterblack Salts (Material),Iotic Essence (Liquid),Forge 5 / Lantern 3
Iotic Essence,Forge,15,Meniscate Reflections,Bitterblack Salts (Material),Iotic Essence (Liquid),Forge 5 / Lantern 3
Iotic Essence,Forge,15,Disciplines of the Hammer,Bitterblack Salts (Material),Iotic Essence (Liquid),Forge 5 / Lantern 3
Iotic Essence,Forge,15,Transformations & Liberations,Xanthotic Essence (Liquid),Iotic Essence (Liquid),Forge 5 / Lantern 3
