Book,Aspect,Level,Memory,Memory Aspects,Lesson,Lessons,Lesson Aspects,Price,Language,Type,Period,Contaminated,Description
The Victory of Crowns,Edge,4,Memory: Contradiction,Edge 2 / Moon 1,Lesson: Sharps,1,Edge / Moon,2,,,Curia,5%,Erratic accounts by 'Arun' of the hunting and consumption of supposed immortals by shadowy assassins. Published in the late nineteenth century.
"The War of the Roads, 1451-1551",Edge,4,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Meniscate Reflections,1,Forge / Edge,2,,,Curia,5%,"Willis-Ford describes the War of the Roads, an event in a History other than our own, in detail - from its beginnings as a martial-philosophical dispute between the Dawn and Sunset Roads of alchemy, to a war which ravaged half of Europe."
De Horis book 2,Edge,4,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Disciplines of the Hammer,1,Edge / Forge,3,Latin,,Baronial,5%,In Latin. A nineteenth-century reprint (by the indefatigable Nathaniel Darcy-Evers) of a fourteenth-century Latin translation of a fourth-century work.
De Horis book 3,Edge,4,Memory: Contradiction,Edge 2 / Moon 1,Lesson: Disciplines of the Scar,1,Edge / Lantern,3,Latin,,Baronial,5%,In Latin. A nineteenth-century reprint (by the indefatigable Nathaniel Darcy-Evers) of a fourteenth-century Latin translation of a fourth-century work.
The Sun's Lament,Edge,4,Memory: Fear,Edge 1 / Scale 2,Lesson: Ragged Crossroads,1,Edge / Winter,4,,,Solar,10%,The first volume of the meditations of Abbot Thomas of the Abbey of the Black Dove.
Exorcism for Girls,Edge,6,Memory: Fear,Edge 1 / Scale 2,Lesson: Sickle & Eclipse,1,Edge / Moon,2,,,Curia,5%,"Simple but forceful techniques for 'rousting unbefitting spirits', written in straightforward and colourful language."
The High Traditions of the Noble Endeavour,Edge,6,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Disciplines of the Hammer,1,Edge / Forge,3,Latin,,Baronial,5%,"A blandly positive work on the Endeavour Club, published by the Endeavour Club. The Club was founded in 1862 but claims to draw from much older traditions."
De Bellis Murorum,Edge,6,Memory: Contradiction,Edge 2 / Moon 1,Lesson: Disciplines of the Scar,1,Edge / Lantern,5,Latin,,Dawn,20%,An eighteenth-century epic poem by the pseudonymous 'Solipsistos'.
THE OPEN HEAD,Edge,8,Memory: Revelation,Lantern 2,Lesson: Disciplines of the Scar,2,Edge / Lantern,1,Hyksos,Film,Nocturnal,2%,"Ilse Bischoff's hallucinatory quasi-documentary, notionally about the Greco-Turkish War of the previous decade."
The Leonine Tantra,Edge,8,Memory: Fear,Edge 1 / Scale 2,Lesson: Edicts Martial,2,Moon / Edge,2,Sanskrit,Scroll,Curia,5%,"In the most notorious translation of the Leonine Tantra, Ashley Phillips is listed as the translator, but their existence is explicitly denied in the prologue. This confusion is characteristic of books which mention the Great Hooded Princes."
As The Sun His Course,Edge,8,Memory: Contradiction,Edge 2 / Moon 1,Lesson: Sickle & Eclipse,2,Edge / Moon,5,Aramaic,,Dawn,20%,"Joel of the Bridge, a retired soldier and sometime tollkeeper, wrote this epic poem about Alexander's famously inexplicable decision at Issus to withdraw from the war with the Achaemenids, and his subsequent return to Macedonia."
The Iron Book,Edge,8,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Disciplines of the Hammer,2,Edge / Forge,5,Fucine,,Dawn,20%,"A manual of the Ordo Limiae, an order of quasi-immortals who maintained a secret enclave at the source of the river Limia, in the Roman province of Hispania Gallaecia. This manual was compiled by one Melerai Yivni, who claims to have travelled to join the Ordo from 'the Crossroads of the Waters'."
Seven Shards,Edge,10,Memory: Hindsight,Scale 1 / Winter 2,Lesson: Disciplines of the Hammer,2,Edge / Forge,4,,,Solar,10%,"The Lionsmith, one of the two great Hours of struggle, broke his sword into seven shards. Natalia Brulleau, fifth Librarian of Hush House, describes the nature of each of those shards, allegorically and otherwise."
The Ascendant,Edge,10,Memory: Contradiction,Edge 2 / Moon 1,Lesson: Edicts Martial,2,Moon / Edge,4,Hyksos,,Solar,10%,The Edge-long Dardesh boasts of her victories over her brother-enemy Tareg in the days of the Shadowless Empire.
A Child's Treasury of Golden Afternoons,Edge,10,Numen: Merciless Alteration,Edge 5 / Forge 5 / Grail 5,Lesson: Sharps,2,Edge / Moon,8,Hyksos,,Unknown,0%,"Once upon a time, a very bad man encoded very bad secrets into the charming illustrations of a book of charming stories. Wake the pictures, and you will see. [This book houses a <i>numen</i> - a truth so powerful it can perhaps believe itself.]"
The Sky in the Scar,Edge,10,Numen: Back Into Balance,Heart 5 / Sky 5 / Winter 5,Lesson: Sickle & Eclipse,2,Edge / Moon,8,Sabazine,,Unknown,0%,Gnomic exhortations that might be described as 'emergency procedures' for the return of the travelling kinds of the Carapace Cross. [This book houses a <i>numen</i> - a truth so powerful it can perhaps believe itself.]
The Book of Thrones,Edge,12,Memory: Contradiction,Edge 2 / Moon 1,Lesson: Auroral Contemplations,2,Lantern / Edge,2,Phrygian,,Curia,5%,"A legend of the Shadowless Empire, transcribed by Alexander Peterhans from annals at a secret shrine in Anatolia."
The Deeds of the Scarred Captain,Edge,12,Memory: Fear,Edge 1 / Scale 2,Lesson: Sharps,2,Edge / Moon,4,Greek,,Solar,10%,"Painstakingly assembled by the soldier of fortune and sometime remittance man, Pavel Shulga, during his years in Greece."
Book of True Blood,Edge,14,Memory: Fear,Edge 1 / Scale 2,Lesson: Meniscate Reflections,2,Forge / Edge,4,Latin,,Solar,10%,"Cassius the Thoman reveals the deeds of the Unnumbered Legion, the secret army that protected Rome against the Shadowless Empire."
How the End will Begin,Edge,14,Memory: Fear,Edge 1 / Scale 2,Lesson: Ragged Crossroads,2,Edge / Winter,5,Vak,,Dawn,20%,"A prophecy of the Wars of the Roads, recorded in the Subcontinent in the days before the Great Hooded Princes."
The Sevenfold Slaying of the Seven-Coiled,Edge,16,Memory: Fear,Edge 1 / Scale 2,Lesson: Disciplines of the Scar,3,Edge / Lantern,5,Fucine,,Dawn,20%,"An account of the destruction of a primaeval Hour, a god-who-was-Stone."
The Wound-Wounds,Edge,18,Memory: Regret,Forge 1 / Winter 2,Lesson: Disciplines of the Scar,3,Edge / Lantern,2,Killasimi,,Curia,5%,"A history of a hundred wars', sewn into a design of metallic threads that pursues itself across every page..."
Vinzant's Minglings,Forge,4,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Bells & Brazieries,1,Forge / Sky,3,,,Baronial,5%,"The metallurgist and 'sky-smith' Everett Vinzant speaks of 'the sacred alloys', 'the alloys eternal', 'the alloys sufficient', 'the alloys intendant'�"
Sunset Passages,Forge,4,Memory: Revelation,Lantern 2,Lesson: Sacra Solis Invicti,1,Lantern / Sky,5,Latin,,Dawn,20%,"A miscellany of the funerary prayers, ceremonies and hymns of the Church of the Unconquered Sun, which was ascendant in the Third and Fourth Histories. It schismed during the Intercalate, when the Sun was divided, and has not survived as a significant force."
The Book of Cinders,Forge,6,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Pyroglyphics,1,Forge / Lantern,2,,,Curia,5%,"Ostensibly an eighteenth-century fireworks manual, but with some exotic ingredient choices and a substantial section on 'teframancy', divination from ashes."
Journal of Walter Dewulf,Forge,6,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Door & Wall,1,Knock / Forge,3,,,Baronial,5%,"Walter Dewulf, 3rd Baron Brancrug, was grandson of Thomas, son of the disgraced Giles, who eloped with 'Pale Hafren'. The Dewulf line might have ended here if the Seneschale Ernestine - by then over eighty - had not managed to reconcile Thomas with a dying Giles."
On Matthias and the Amethyst Imago: Transformation,Forge,6,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Spices & Savours,1,Nectar / Forge,5,Aramaic,,Dawn,20%,An account of an occult romance. A certain Iyavogos claims to have written this in a single night as part of his initiation into the Aleppine branch of the House of Lethe - that order of immortals who would not pledge themselves to any Hour.
The Vinzant Inscriptions,Forge,6,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Transformations & Liberations,1,Forge / Moth,5,Phrygian,,Dawn,20%,"Everett Vinzant transcribed these from a cliff in Anatolia, where he famously survived a lightning-strike. He died seven years later to the day. His bones, the legend has it, were hot to the touch."
The Incandescent Tantra,Forge,8,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Transformations & Liberations,2,Forge / Moth,2,Sanskrit,Scroll,Curia,5%,"Michael Blockley, the eccentric iron magnate, was fond of quoting from this tantra. Blockley died in a factory fire."
Old Coppernose and the Softer Metal,Forge,8,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Bells & Brazieries,2,Forge / Sky,2,,,Curia,5%,A disgraceful compendium of ribald poetry about the habits and corruptions of Henry VIII.
Ambrosial!,Forge,8,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Spices & Savours,2,Nectar / Forge,2,,,Curia,5%,"Ambrose Westcott's inventive - one might say pioneering, or indeed buccaneering - essays into kitchencraft."
The Amalgam of the Red Rose,Forge,8,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Meniscate Reflections,2,Forge / Edge,2,,,Curia,5%,"An account by 'Mistress Red-Flower' of the alchemical operations favoured by the House of Lancaster, also identified with the 'Sunset Road'. These operations ultimately led to their victory in the War of the Roads, but are described as 'now debased'."
A Shape in Smoke,Forge,8,Memory: Revelation,Lantern 2,Lesson: Pyroglyphics,2,Forge / Lantern,3,,,Baronial,5%,Ambrose Westcott's exposition on tobacco-blending and 'the Oracles of the Pipe.'
The Admonitory Automata Project,Forge,10,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Lockworks & Clockworks,2,Knock / Sky,1,,Film,Nocturnal,2%,Footage of experimental devices under development in the Cucurbit under Governor Collers' supervision.
Glimmerings,Forge,10,Bittersweet Certainty,Lantern 1 / Winter 2,Lesson: Sights & Sensations,2,Sky / Winter,1,,,Nocturnal,2%,An anonymous prison diary written by a dreamer convicted of 'oneiric irresponsibility' and confined to the Cucurbit.
The Temptations of Architecture,Forge,10,Secret Threshold,Knock 2 / Rose 1,Lesson: Door & Wall,2,Knock / Forge,2,,,Curia,5%,"The antiquarian and nyctodromist Ambrose Westcott writes of the 'dangers of doors', with particular reference to a house in the bounds named 'Treowen'."
Skin of Silver,Forge,10,Memory: Fear,Edge 1 / Scale 2,Lesson: Disciplines of the Hammer,2,Edge / Forge,5,Mandaic,,Dawn,20%,The epic of the final battle of the Lionsmith with the remnant-giant Antaios.
Amiranis Beteli,Forge,10,Numen: the Bells of Ys,Edge 5 / Forge 5 / Rose 5,Lesson: Bells & Brazieries,2,Forge / Sky,8,Fucine,Tablet,Unknown,0%,A fragment of iron-alloy meteorite carefully inscribed and polished. [This object houses a <i>numen</i> - a truth so powerful it can perhaps believe itself.]
The Carmine Petal: Revised,Forge,12,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Disciplines of the Hammer,2,Edge / Forge,3,,,Baronial,5%,An apparently theoretical project proposed by 'Lionel' of the Society of the Noble Endeavour which might permit the imprisonment of a renegade Forge-Name. A very heavily revised edition of an earlier and even more controversial work.
The Book of Dissolution,Forge,12,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Transformations & Liberations,2,Forge / Moth,5,Mandaic,,Dawn,20%,"Alexander Probst recovered a copy of this work from a mountain-temple in Persia. Other copies surface now and then, usually seared on rock."
The Manner in which the Alchemist was Spared,Forge,14,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Anbary & Lapidary,2,Sky / Forge,2,Vak,,Curia,5%,"In 1782, Ana�l Verdier used this text as the basis for a presentation to the Academy of Sciences in Paris. He was executed in secret the following morning without trial."
A Descent of the Shell,Forge,14,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Purifications & Exaltations,2,Sky / Lantern,4,,,Solar,10%,"A treatise on eggs, light, and optics by Abbess Melancthe, dazzlingly illuminated with renderings of the Abbess' visions."
The Burning Woman,Forge,14,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Transformations & Liberations,2,Forge / Moth,5,Phrygian,,Dawn,20%,"A transcription of the play by Menander the Victor, possibly the dramatist of that name, into Phrygian, with commentaries."
"My Deeds, My Powers, My Achievements and the Injustices Perpetrated Against Me",Forge,16,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Transformations & Liberations,3,Forge / Moth,4,Mandaic,,Solar,10%,"A diatribe by Hokobald of Pocsind, formerly of the order of immortals called the House of Lethe (later the Ordo Limiae; much latter the Obliviates). He has scores to settle."
The Messenger Awaiting Her Destination,Forge,16,Memory: Pattern,Forge 1 / Knock 2,Lesson: Door & Wall,3,Knock / Forge,5,Vak,,Dawn,20%,"The Limian Burzghash records his prophecies of a City Unbuilt, and entreaties to its Herald."
The Carmine Petal: Unexpurgated,Forge,18,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Disciplines of the Hammer,3,Edge / Forge,3,,,Baronial,5%,"A project proposed by 'Lionel' of the Society of the Noble Endeavour by which, he claims, he succeeded in creating a sanctuary for a fugitive Forge-Name. The unexpurgated version."
The Skeleton Songs,Grail,4,Beguiling Melody,Grail 2 / Sky 2,Lesson: Resurgences & Emergences,1,Moth / Grail,1,,,Nocturnal,2%,"Poems of greedy delight composed by the possibly pseudonymous Arabella Dusk, the rumoured heiress-turned-madam-turned-poetess."
